"";"Month";"Year";"Dry weight";"Ca";"Mg";"K";"S";"P";"Date"
"233";5;2024;26518,3300781;40,0472946;6,5904598;26,1631584;2,8993185;5,2974801;2024-05-01
"234";6;2024;26564,9511719;40,1232071;6,6028161;26,2128925;2,9047782;5,3041115;2024-06-01
"235";7;2024;26611,5722656;40,1991196;6,6151733;26,2626266;2,910238;5,308455;2024-07-01
"236";8;2024;26652,3652344;40,2655449;6,6259847;26,3061428;2,9150071;5,3124604;2024-08-01
"237";9;2024;26690,2441406;40,3272247;6,636025;26,3465538;2,9194107;5,316082;2024-09-01
"238";10;2024;26691,7011719;40,3296013;6,6364102;26,3481102;2,9195404;5,3163671;2024-10-01
"239";11;2024;26693,1601562;40,3309784;6,6366811;26,3486462;2,9195576;5,3164048;2024-11-01
"240";12;2024;26694,6171875;40,3309784;6,6366811;26,3486977;2,9195752;5,3164425;2024-12-01
"241";1;2025;26695,9609375;40,3309784;6,6366811;26,348711;2,9195838;5,3164597;2025-01-01
"242";2;2025;26697,3066406;40,3309784;6,6366811;26,3487244;2,9195955;5,3164821;2025-02-01
"243";3;2025;26699,9980469;40,3309784;6,6366811;26,3487511;2,9196327;5,3165431;2025-03-01
"244";4;2025;26733,6171875;40,3364105;6,637423;26,3514099;2,9209368;5,31846;2025-04-01
"245";5;2025;26800,859375;40,4253349;6,6552453;26,4171963;2,9288113;5,3332462;2025-05-01
"246";6;2025;26843,8945312;40,4954109;6,6666527;26,4631023;2,933851;5,3386188;2025-06-01
"247";7;2025;26886,9296875;40,5654831;6,6780581;26,5090103;2,9388907;5,342227;2025-07-01
"248";8;2025;26924,5820312;40,6268005;6,6880388;26,5491829;2,9433007;5,3461056;2025-08-01
"249";9;2025;26959,5488281;40,6837349;6,6973066;26,5864811;2,9473956;5,3504367;2025-09-01
"250";10;2025;26960,8945312;40,6859207;6,6976633;26,5879154;2,9475274;5,3506942;2025-10-01
"251";11;2025;26962,2382812;40,6872711;6,6979284;26,5884571;2,9475434;5,350729;2025-11-01
"252";12;2025;26963,5839844;40,6872711;6,6979284;26,5885086;2,9475596;5,3507633;2025-12-01
"253";1;2026;26964,9296875;40,6872711;6,6979284;26,5885201;2,9475679;5,3507805;2026-01-01
"254";2;2026;26966,2734375;40,6872711;6,6979284;26,5885353;2,9475794;5,350801;2026-02-01
"255";3;2026;26968,9648438;40,6872673;6,6979284;26,5885601;2,9476161;5,350863;2026-03-01
"256";4;2026;27002,5859375;40,6926765;6,6986685;26,5912151;2,9489155;5,3527689;2026-04-01
"257";5;2026;27069,8261719;40,7817345;6,7164912;26,6571751;2,95679;5,3675566;2026-05-01
"258";6;2026;27112,8613281;40,8518066;6,7278972;26,703083;2,9618297;5,3737278;2026-06-01
"259";7;2026;27155,8964844;40,9218788;6,7393036;26,7489891;2,9668694;5,3772182;2026-07-01
"260";8;2026;27193,5507812;40,9831963;6,7492838;26,7891598;2,9712794;5,38099;2026-08-01
"261";9;2026;27228,515625;41,0401344;6,7585516;26,826458;2,975374;5,3846536;2026-09-01
"262";10;2026;27229,8613281;41,0423241;6,7589078;26,8278942;2,9755061;5,3849053;2026-10-01
"263";11;2026;27231,2070312;41,043663;6,7591743;26,828434;2,975522;5,3849397;2026-11-01
"264";12;2026;27232,5507812;41,043663;6,7591743;26,8284874;2,9755383;5,3849735;2026-12-01
"265";1;2027;27233,7851562;41,043663;6,7591743;26,8284969;2,9755464;5,3849902;2027-01-01
